id,created_at,original_text,clean_text,retweet_count,hashtags,mentions,original_author
1253096244311846912,2020-04-22 23:00:00+00:00,We have the power to change the future of our planet — and it starts at the ballot box this November.,power change future planet start ballot November,3124,<UNK>,<UNK>,JoeBiden
1253088692551348225,2020-04-22 22:30:00+00:00,"This #EarthDay, let’s recommit to doing everything in our power to combat climate change. That starts with voting Donald Trump out of the White House this November.",earthday recommit power combat climate change start vote Donald Trump White House November,4998,#EarthDay #EarthDay,<UNK>,JoeBiden
1253085894380322817,2020-04-22 22:18:53+00:00,Stranger things have happened.,strange thing happen,435,<UNK>,<UNK>,JoeBiden
1253068559997075457,2020-04-22 21:10:00+00:00,"Fifty years ago, #EarthDay began as a day of organizing that demonstrated the power of community action. This year, it’s also a reminder of everything that’s on the line if we do not get Donald Trump out of the White House.",year EarthDay begin organizing demonstrate power community action year reminder line Donald Trump White House,1914,#EarthDay #EarthDay,<UNK>,JoeBiden
1253046162287849472,2020-04-22 19:41:00+00:00,"The climate emergency requires our urgent action. As president, I will: - Ensure we achieve a 100% clean energy economy and net-zero emissions by 2050 - Rejoin the #ParisAgreement and rally the world to go further - Make the largest-ever investment in clean energy",climate emergency require urgent action president ensure achieve clean energy economy zero emission 2050 Rejoin ParisAgreement rally world large investment clean energy,7456,#ParisAgreement,<UNK>,JoeBiden
1253032141740367873,2020-04-22 18:45:17+00:00,Join me on Earth Day for a virtual town hall with special guest Al Gore — on one of the most pressing issues facing our country and the world. Tune in now:,join Earth virtual town hall special guest Gore pressing issue face country world tune,2039,<UNK>,<UNK>,JoeBiden
1253013196644003842,2020-04-22 17:30:00+00:00,Join me on #EarthDay for a virtual town hall — on one of the most pressing issues facing the world. Tune in at 2:30 PM ET: http://JoeBiden.com/Live,join earthday virtual town hall pressing issue face world tune 2:30,752,#EarthDay #EarthDay,<UNK>,JoeBiden
1253006148954816514,2020-04-22 17:02:00+00:00,"Throughout my career, I've been committed to the fight against climate change. And on day one as president, I'll get to work taking the drastic action we need to address this crisis. #EarthDay",career commit fight climate change president work take drastic action need address crisis earthday,5872,#EarthDay #EarthDay,<UNK>,JoeBiden
1252965380265439235,2020-04-22 14:20:00+00:00,"On #EarthDay, we're reminded that there is no more urgent crisis facing this nation, or the world, than the threat posed by climate change. We have to take drastic action before it’s too late — and that’s exactly what I will do as president. http://JoeBiden.com/Climate",earthday remind urgent crisis face nation world threat pose climate change drastic action late exactly president,4160,#EarthDay #EarthDay,<UNK>,JoeBiden
1252950280708055040,2020-04-22 13:20:00+00:00,"Folks, we just launched a special #EarthDay episode of Here's the Deal! Governor @JayInslee joins me for a discussion on COVID-19, climate change, and why he's supporting our campaign. Listen to the full episode now: http://JoeBiden.com/Heres-The-Deal",folk launch special EarthDay episode Deal Governor @JayInslee join discussion covid-19 climate change support campaign listen episode,2209,#EarthDay #EarthDay,@JayInslee,JoeBiden
