,id,created_at,original_text,clean_text,retweet_count,hashtags,mentions,original_author
727,1260339651509919746,2020-05-12 22:42:43+00:00,"The Trump Administration clearly knows what's needed to make workplaces safe and operational: adequate testing, contact tracing, masks, and additional precautions. They're putting in the work to keep themselves safe. Why aren't they doing the same for the American people?",Trump Administration clearly know need workplace safe operational adequate testing contact tracing mask additional precaution put work safe american people,7815,<UNK>,<UNK>,JoeBiden
728,1260303075111325697,2020-05-12 20:17:23+00:00,"This is a bunch of malarkey and you know it, @senatemajldr. We left a 69-page playbook on how to fight pandemics. You can read it here if you’d like: https://joe.link/3fI8BU7 And make sure to pass along your notes to President Trump. He could use them.",bunch malarkey know @senatemajldr leave 69-page playbook fight pandemic read like sure pass note President Trump,26086,<UNK>,@senatemajldr,JoeBiden
729,1260294171618836480,2020-05-12 19:42:00+00:00,Donald Trump knew about this crisis all the way back in January — and his response since has been incompetent at best.,Donald Trump know crisis January response incompetent good,6388,<UNK>,<UNK>,JoeBiden
730,1260267215921844225,2020-05-12 17:54:53+00:00,That’s the plan. http://IWillVote.com,plan,22911,<UNK>,<UNK>,JoeBiden
731,1260225720435032065,2020-05-12 15:10:00+00:00,Here's the deal: We can choose who our country works for. We can choose whether it works for just the wealthy — or everyone else as well. That’s the choice we must make — all of us together — this November.,deal choose country work choose work wealthy choice November,11062,<UNK>,<UNK>,JoeBiden
732,1260155255880323074,2020-05-12 10:30:00+00:00,"Let me be clear: My Administration will review every single stimulus loan given to big companies and political insiders. We will find any dollar taken corruptly, we will come get it, and we will punish the wrongdoers.",clear Administration review single stimulus loan give company political insider find dollar take corruptly come punish wrongdoer,12725,<UNK>,<UNK>,JoeBiden
733,1260011558899499010,2020-05-12 00:59:00+00:00,I believe everyone deserves a fair shot at success — not just the Mar-a-Lago crowd.,believe deserve fair shot success Lago crowd,14998,<UNK>,<UNK>,JoeBiden
734,1259986650446344196,2020-05-11 23:20:01+00:00,Donald Trump just doesn't understand: We have an economic crisis because we have a public health crisis — and we have a public health crisis because he failed to act.,Donald Trump understand economic crisis public health crisis public health crisis fail,40979,<UNK>,<UNK>,JoeBiden
735,1259972803660443648,2020-05-11 22:25:00+00:00,"In April, we raised $60.5 million between my campaign and @TheDemocrats. I'm humbled and know what a sacrifice it is to give in times as difficult as these. But May is our most important month yet, and we need your help. If you can, please chip in today:",April raise 60.5 million campaign @thedemocrat humble know sacrifice time difficult important month need help chip today,2309,<UNK>,@TheDemocrats,JoeBiden
736,1259943863621267457,2020-05-11 20:30:00+00:00,Donald Trump and his team seem to understand how critical testing is to their own safety. So why are they insisting that it’s unnecessary for the American people?,Donald Trump team understand critical testing safety insist unnecessary american people,28650,<UNK>,<UNK>,JoeBiden
737,1259917439132819456,2020-05-11 18:45:00+00:00,"With folks staying at home during this time of social distancing, we put together some fun activities to keep everyone entertained. Text FREE to 30330 to be the first to get a look at what we’ve been working on.",folk stay home time social distancing activity entertain text free 30330 look work,1073,<UNK>,<UNK>,JoeBiden
738,1259896551805157378,2020-05-11 17:22:00+00:00,"Donald Trump hopes to split us into dueling camps, casting Democrats as doomsayers hoping to keep America grounded and Republicans as freedom fighters trying to liberate the economy. It’s a childish tactic—and a false choice none of us should fall for.",Donald Trump hope split duel camp cast Democrats doomsayer hope America ground Republicans freedom fighter try liberate economy childish tactic false choice fall,9674,<UNK>,<UNK>,JoeBiden
739,1259855842041565186,2020-05-11 14:40:14+00:00,I have a better idea: give people coronavirus economic relief and don't hold their hard-earned benefits hostage.,well idea people coronavirus economic relief hold hard earn benefit hostage,9647,<UNK>,<UNK>,JoeBiden
740,1259834391670423553,2020-05-11 13:15:00+00:00,"This crisis presents an opportunity to not just rebuild our economy — but transform it. @AndrewYang joined me to discuss how we can do that and create a stronger, fairer, more inclusive middle class. Listen to the full episode: http://JoeBiden.com/Heres-the-Deal",crisis present opportunity rebuild economy transform @AndrewYang join discuss create strong fair inclusive middle class listen episode,3218,<UNK>,@AndrewYang,JoeBiden
741,1259650681260044293,2020-05-11 01:05:00+00:00,"No podemos callar ante la violencia contra personas transgénero de color, como las recientes tragedias en Missouri y Puerto Rico. Es nuestra obligación garantizar que todos puedan vivir abiertamente, con orgullo y sin miedo.",podemos callar ante violencia contra personas transgénero color como reciente tragedias Missouri Puerto Rico nuestra obligación garantizar todos puedan vivir abiertamente orgullo miedo,1143,<UNK>,<UNK>,JoeBiden
742,1259649424436785152,2020-05-11 01:00:00+00:00,"We cannot be silent in the face of rising violence against transgender people of color—like the recent tragedies in Missouri and Puerto Rico. It's our moral obligation to end this epidemic, and ensure everyone can live open and proud and free from fear. https://time.com/5827425/trans-killings-puerto-rico/",silent face rise violence transgender people color like recent tragedy Missouri Puerto Rico moral obligation epidemic ensure live open proud free fear,5317,<UNK>,<UNK>,JoeBiden
743,1259626773605564416,2020-05-10 23:30:00+00:00,".@AndrewYang and I covered a lot of ground on the next episode of Here's the Deal, but the most surprising part might have been learning about his connection to the Roosevelts. Make sure to tune in for the full episode tomorrow morning: http://JoeBiden.com/Heres-The-Deal",.@AndrewYang cover ground episode Deal surprising learn connection Roosevelts sure tune episode tomorrow morning,2412,<UNK>,@AndrewYang,JoeBiden
744,1259615448905199621,2020-05-10 22:45:00+00:00,Don't let anyone tell you differently: We have the power to write the future we want for our country.,tell differently power write future want country,15041,<UNK>,<UNK>,JoeBiden
745,1259581475109744640,2020-05-10 20:30:00+00:00,Tax cuts for the super-wealthy. Bailouts for large corporations. Working Americans left behind. That’s Donald Trump’s record.,cut super wealthy bailout large corporation work Americans leave Donald Trump record,7039,<UNK>,<UNK>,JoeBiden
