,id,created_at,original_text,clean_text,retweet_count,hashtags,mentions,original_author
1413,1146515043154112514,2019-07-03 20:24:22+00:00,"We get a call that our son is in the emergency room after hitting his head playing basketball, we rushed to get there. And when we finally see him all he wants us to know is that he made the shot. 🤦🏽‍♀️ #MomMoments",emergency room hit head play basketball rush finally want know shot woman_facepalming_medium_skin_tone mommoment,2029,#MomMoments,<UNK>,NikkiHaley
1414,1146132304194101251,2019-07-02 19:03:30+00:00,"After a wonderful trip to Israel, we are all excited to get back to this little one. #Bentley 💙🐾",wonderful trip Israel excited little Bentley blue_heart::paw_print,100,#Bentley,<UNK>,NikkiHaley
1415,1145662108878569472,2019-07-01 11:55:06+00:00,"So blessed to have these special friends and teammates. We’ve all had so much fun exploring Israel and taking in the sights, sounds, and food. Until next year in Israel.... #MakingMemories #Jerusalem #Tiberias #TelAviv #TeamHaleyNYC #KidsWouldntLetMePostAnotherPictureOfThem",bless special friend teammate explore Israel take sight sound food year Israel MakingMemories Jerusalem tiberias telaviv teamhaleynyc KidsWouldntLetMePostAnotherPictureOfThem,246,#MakingMemories #Jerusalem #Tiberias #TelAviv #TeamHaleyNYC #KidsWouldntLetMePostAnotherPictureOfThem,<UNK>,NikkiHaley
1416,1144964806207840256,2019-06-29 13:44:16+00:00,Let the image and memory of Luis’ voice be a reminder of the thousands who are still suffering from ailments due to their service after 9/11. Prayers going up for the Alvarez family as they mourn a life lost too soon. #AmericanHero ❤️🇺🇸,image memory Luis voice reminder thousand suffer ailment service 9/11 prayer go Alvarez family mourn life lose soon AmericanHero red_heart_selector::United_States,822,#AmericanHero,<UNK>,NikkiHaley
1417,1144936436560531456,2019-06-29 11:51:33+00:00,Making memories in Israel...💙 #LifeIsAnAdventure @WMichaelHaley,make memory Israel :blue_heart lifeisanadventure @WMichaelHaley,206,#LifeIsAnAdventure,@WMichaelHaley,NikkiHaley
1418,1144521553465487360,2019-06-28 08:22:57+00:00,Thank you to PM and Mrs. Netanyahu for a wonderful lunch. We enjoyed chatting about our families and politics. We appreciate your hospitality and friendship. Our countries will be forever bonded. ❤️🇺🇸🇮🇱 @netanyahu,thank Mrs. Netanyahu wonderful lunch enjoy chat family politic appreciate hospitality friendship country forever bond red_heart_selector::United_States::Israel @netanyahu,644,<UNK>,@netanyahu,NikkiHaley
1419,1144239436974059521,2019-06-27 13:41:55+00:00,"Great seeing my friend, @USAmbIsrael, at the site of our new US embassy in Jerusalem. I was proud to be at the site we fought so hard for at the United Nations. Thank you for your friendship and partnership. 🇺🇸🇮🇱",great see friend @USAmbIsrael site embassy Jerusalem proud site fight hard United Nations thank friendship partnership United_States::Israel,553,<UNK>,@USAmbIsrael,NikkiHaley
1420,1143976916971610118,2019-06-26 20:18:45+00:00,Thank you @dannydanon. It is so nice to be back! 🇺🇸🇮🇱,thank @dannydanon nice United_States::Israel,113,<UNK>,@dannydanon,NikkiHaley
1421,1143955075708129280,2019-06-26 18:51:58+00:00,Giving thanks for the many blessings in my life...❤️🙏 #WesternWall #Jerusalem,give thank blessing life :red_heart_selector::folded_hands WesternWall Jerusalem,953,#WesternWall #Jerusalem,<UNK>,NikkiHaley
1422,1143551232784699392,2019-06-25 16:07:14+00:00,Acknowledging some truths about China.,acknowledge truth China,259,<UNK>,<UNK>,NikkiHaley
