id,created_at,original_text,clean_text,retweet_count,hashtags,mentions,original_author
1134833298923053057,2019-06-01 14:45:17+00:00,"Excited to share my challenges and experiences with you in a very personal but honest account of growing up, my time as Governor of South Carolina, and as U.S. Ambassador to the UN. Order your copy at: http://www.NikkiHaleyBook.com",excite share challenge experience personal honest account grow time Governor South Carolina U.S. Ambassador order copy,143,<UNK>,<UNK>,NikkiHaley
1134580027717300224,2019-05-31 21:58:52+00:00,Congratulations @JonahNRO and have fun in this next phase of your career! ❤️🇺🇸,congratulation @JonahNRO phase career red_heart_selector::united_states,30,<UNK>,@JonahNro,NikkiHaley
1134560508332388353,2019-05-31 20:41:18+00:00,Hope you will tune in! It is sure to be a great night. ❤️🇺🇸,hope tune sure great night red_heart_selector::united_states,56,<UNK>,<UNK>,NikkiHaley
1134558782854504448,2019-05-31 20:34:27+00:00,Keeping you up to date on issues of foreign and domestic policy that you should be on your radar. For this and more go to http://www.standforamerica.com and join today! ❤️🇺🇸,keep date issue foreign domestic policy radar join today red_heart_selector::united_states,53,<UNK>,<UNK>,NikkiHaley
1134535510016348160,2019-05-31 19:01:58+00:00,This is disgusting. A strong reminder of the type of person we are dealing with. The international community needs to continue to stand firm with the sanctions.,disgusting strong reminder type person deal international community need continue stand firm sanction,405,<UNK>,<UNK>,NikkiHaley
1134496259836973057,2019-05-31 16:26:00+00:00,Always fun hanging out with one of my girlfriends! @HARRISFAULKNER continues to make all women proud in the way she reports the news. Keep knocking it out of the park Harris! #StrongWomenMakeAllWomenProud ❤️🇺🇸,hang girlfriend @HARRISFAULKNER continue woman proud report news knock park Harris StrongWomenMakeAllWomenProud red_heart_selector::united_state,96,#StrongWomenMakeAllWomenProud,@HARRISFAULKNER,NikkiHaley
1134479892152803331,2019-05-31 15:20:58+00:00,I started my morning with this great song by Cat Stevens. Hope it makes you smile too. Happy Friday!,start morning great song Stevens hope make smile Happy Friday,102,<UNK>,<UNK>,NikkiHaley
1134436031334424577,2019-05-31 12:26:41+00:00,"Excited to be supporting my friend, @SenJoniErnst! Hope you will come out and join us. This will be fun! ❤️🇺🇸 #RoastandRide",excite support friend @SenJoniErnst hope come join red_heart_selector::united_states roastandride,155,#RoastandRide,@SenJoniErnst,NikkiHaley
1134173147102662657,2019-05-30 19:02:04+00:00,You look awesome as always! ❤️🇺🇸,look awesome red_heart_selector::united_states,2,<UNK>,<UNK>,NikkiHaley
1134094652905328641,2019-05-30 13:50:10+00:00,Coming November 12. Reserve your copy today! http://www.NikkiHaleyBook.com ❤️🇺🇸,come November reserve copy today red_heart_selector::united_states,470,<UNK>,<UNK>,NikkiHaley
1133930237711060995,2019-05-30 02:56:50+00:00,It was great meeting you! You will do great things in your life. I look forward to watching you. ❤️🇺🇸,great meeting great thing life look forward watch red_heart_selector::united_states,21,<UNK>,<UNK>,NikkiHaley
1133916248323055629,2019-05-30 02:01:15+00:00,That’s awesome ❤️,awesome red_heart_selector,12,<UNK>,<UNK>,NikkiHaley
1133736575949516801,2019-05-29 14:07:18+00:00,Great news for these journalists who were jailed for telling the truth about the atrociites in Burma.,great news journalist jail tell truth atrociite Burma,158,<UNK>,<UNK>,NikkiHaley
1133734921648955392,2019-05-29 14:00:43+00:00,Mayor de Blasio discriminating against Asians attending NYC elite schools. De Blasio and his schools chancellor Richard Carranza are pushing an alternative scheme that would cut Asian enrollment in half.,Mayor Blasio discriminate Asians attend elite school Blasio school chancellor Richard Carranza push alternative scheme asian enrollment half,743,<UNK>,<UNK>,NikkiHaley
1133166303328575488,2019-05-28 00:21:14+00:00,"After walking 8 miles in the city, this is how our night ended.... ❤️🥂 #DontJudge #PerfectDayInNYC #BlessedEveryDay ❤️🇺🇸",walk mile city night end red_heart_selector::clinking_glasse DontJudge perfectdayinnyc blessedeveryday red_heart_selector::united_state,158,#DontJudge #PerfectDayInNYC #BlessedEveryDay,<UNK>,NikkiHaley
1132862465916755972,2019-05-27 04:13:54+00:00,You won’t 💗,growing_heart,4,<UNK>,<UNK>,NikkiHaley
1132752382620774401,2019-05-26 20:56:28+00:00,This is such an awesome pic of @realDonaldTrump with @AbeShinzo. Two leaders forgetting the world for a while and playing golf. ❤️🇺🇸,awesome @realDonaldTrump @abeshinzo leader forget world play golf red_heart_selector::united_state,1074,<UNK>,@realDonaldTrump @AbeShinzo,NikkiHaley
1132700485302063104,2019-05-26 17:30:14+00:00,"On any given day, we are blessed to live in America ❤️🇺🇸 Happy Sunday!",give bless live America red_heart_selector::united_states Happy Sunday,1217,<UNK>,<UNK>,NikkiHaley
1132285767324192773,2019-05-25 14:02:18+00:00,❤️🇺🇸,red_heart_selector::united_state,2,<UNK>,<UNK>,NikkiHaley
1132023007843639297,2019-05-24 20:38:11+00:00,@KellyAyotte @SenJoniErnst @WinningForWomen @SenMcSallyAZ,@KellyAyotte @SenJoniErnst @WinningForWomen @SenMcSallyAZ,9,<UNK>,@KellyAyotte @SenJoniErnst @WinningForWomen @SenMcSallyAZ,NikkiHaley
1132022065752678406,2019-05-24 20:34:27+00:00,A great day celebrating strong Republican women at the @WinningForWomen event in NYC. Proud of these women and others who are willing to serve. ❤️🇺🇸,great celebrate strong republican woman @WinningForWomen event proud woman willing serve red_heart_selector::united_states,214,<UNK>,@WinningForWomen,NikkiHaley
1132012679680413701,2019-05-24 19:57:09+00:00,India continues to have amazing potential and is a strong US partner. Congratulations to @narendramodi on your success with the elections and the direction you are taking India. We look forward to seeing our partnership continue to strengthen. 🇺🇸,India continue amazing potential strong partner congratulation @narendramodi success election direction take India look forward see partnership continue strengthen united_state,357,<UNK>,@narendramodi,NikkiHaley
1131721483645009922,2019-05-24 00:40:02+00:00,A great night. Thank you. ❤️,great night thank red_heart_selector,6011,<UNK>,<UNK>,NikkiHaley
1131628534978535430,2019-05-23 18:30:42+00:00,"As of last week, there were 421 inmates with a history of, or nexus to, international terrorism, in the federal prison system, according to the Bureau of Prisons. There must be a well thought out plan in place on how to deal with them. Releasing them early is not the answer.",week inmate history nexus international terrorism federal prison system accord Bureau Prisons think plan place deal release early answer,987,<UNK>,<UNK>,NikkiHaley
1131615703688208385,2019-05-23 17:39:42+00:00,This was amazing @craigmelvin! Thank you for always shining a light on our sweet state. ❤️,amazing @craigmelvin thank shine light sweet state red_heart_selector,30,<UNK>,@craigmelvin,NikkiHaley
1131584246286622720,2019-05-23 15:34:42+00:00,The Democrats seem to be doing everything to lose the election. So much to be done and this is where their focus is? #PrioritiesMatter,Democrats lose election focus PrioritiesMatter,730,#PrioritiesMatter,<UNK>,NikkiHaley
