,id,created_at,original_text,clean_text,retweet_count,hashtags,mentions,original_author
546,1251301164051619840,2020-04-18 00:07:00+00:00,"The American people should remain confident that at President @realDonaldTrump’s direction, we are going to continue to work every single day to make sure that states have the testing, resources and supplies they need to reopen their communities and to reopen America.",american people remain confident President @realDonaldTrump direction go continue work single sure state testing resource supply need reopen community reopen America,2180,<UNK>,@realDonaldTrump,Mike_Pence
547,1251299238685880321,2020-04-17 23:59:21+00:00,"Because of the extraordinary efforts of the American people and because of the strong partnership the Federal Government has formed with states across the Country, we’re making progress, America. 🇺🇸",extraordinary effort american people strong partnership Federal Government form state Country make progress America united_state,1190,<UNK>,<UNK>,Mike_Pence
548,1251193998817058816,2020-04-17 17:01:10+00:00,President @realDonaldTrump’s guidelines to Opening Up America Again focus on the most vulnerable and the mitigation of any risk of resurgence or the emergence of the Coronavirus in States where it is not yet emerged. Learn more: https://whitehouse.gov/openingamerica/,President @realDonaldTrump guideline opening America focus vulnerable mitigation risk resurgence emergence Coronavirus States emerge learn,1083,<UNK>,@realDonaldTrump,Mike_Pence
549,1250957777670897665,2020-04-17 01:22:30+00:00,Thank you to Truckers across the Country for putting in long hours and working hard to make sure the American people have food on their tables and the resources they need as we face the Coronavirus together. #ThankATrucker,thank trucker Country put long hour work hard sure american people food table resource need face Coronavirus thankatrucker,2932,#ThankATrucker,<UNK>,Mike_Pence
550,1250937704948342785,2020-04-17 00:02:44+00:00,"Because of the cooperation of the American people and God’s grace, we are slowing the spread, we are flattening the curve, we have preserved the capacity of our health care system, and we have protected the most vulnerable.",cooperation american people grace slow spread flatten curve preserve capacity health care system protect vulnerable,1814,<UNK>,<UNK>,Mike_Pence
551,1250937619543883776,2020-04-17 00:02:24+00:00,"From the moment President @realDonaldTrump established the @WhiteHouse Coronavirus Task Force, he made it clear that we have no higher priority than the health and safety of the American people.",moment President @realDonaldTrump establish @whitehouse Coronavirus Task Force clear high priority health safety american people,1702,<UNK>,@realDonaldTrump @WhiteHouse,Mike_Pence
552,1250928803288952832,2020-04-16 23:27:22+00:00,The new guidelines to Opening Up America Again are a product of science and the best common sense that President @realDonaldTrump has marshaled on the @WhiteHouse Coronavirus Task Force and from a broad range of advisers from across the Nation.,guideline Opening America product science good common sense President @realDonaldTrump marshal @whitehouse Coronavirus Task Force broad range adviser nation,1996,<UNK>,@realDonaldTrump @WhiteHouse,Mike_Pence
553,1250584125028925440,2020-04-16 00:37:44+00:00,"President @realDonaldTrump and the entire @WhiteHouse are proud of our health care professionals and military medical personnel in uniform who have been deployed across the Country to serve the American people. On behalf of a grateful Nation, thank you.",President @realDonaldTrump entire @whitehouse proud health care professional military medical personnel uniform deploy Country serve american people behalf grateful nation thank,1129,<UNK>,@realDonaldTrump @WhiteHouse,Mike_Pence
554,1250583963648786432,2020-04-16 00:37:06+00:00,The @US_FDA has announced efforts to facilitate the development and access to convalescent plasma. We urge recovered patients to contact their local plasma donation centers and donate. This is one more way that the American people can step forward and do their part.,@US_FDA announce effort facilitate development access convalescent plasma urge recover patient contact local plasma donation center donate american people step forward,416,<UNK>,@US_FDA,Mike_Pence
555,1250583695758630913,2020-04-16 00:36:02+00:00,"Today, the @WhiteHouse Coronavirus Task Force met and we received the report that over 3.3 million tests have been conducted and more than 45,000 Americans have fully recovered. Because of the efforts of people all across our Country, we’re getting there, America.","today @whitehouse Coronavirus Task Force receive report million test conduct 45,000 Americans fully recover effort people country get America",606,<UNK>,@WhiteHouse,Mike_Pence
556,1250494943602278401,2020-04-15 18:43:22+00:00,"Thanks to @foxandfriends for focusing on our Daughter @charlipence’s efforts to make sure America’s kids stay informed about Coronavirus. So proud of our Charlotte! Check out @charlipence’s “Littles News Briefing"": https://ricochet.com/podcast/littles-news-briefing/what-is-the-coronavirus-and-interview-with-vice-president-mike-pence/",thank @foxandfriend focus daughter @charlipence effort sure America kid stay informed Coronavirus proud Charlotte check @charlipence Littles News Briefing,584,<UNK>,@foxandfriends @charlipence @charlipence,Mike_Pence
557,1250434030106849285,2020-04-15 14:41:19+00:00,"President @realDonaldTrump has made it clear, his top priority is the safety of the American people. We will continue to do everything we can and work through this challenging time together as a Nation.",President @realDonaldTrump clear priority safety american people continue work challenging time nation,1765,<UNK>,@realDonaldTrump,Mike_Pence
558,1250433934065668098,2020-04-15 14:40:56+00:00,We’re going to listen very carefully to our health care experts and ensure that we have a sufficient amount of both the diagnostic and the surveillance testing to be able to allow businesses and educational institutes to reopen.,go listen carefully health care expert ensure sufficient diagnostic surveillance testing able allow business educational institute reopen,1131,<UNK>,<UNK>,Mike_Pence
559,1250183172547018756,2020-04-14 22:04:30+00:00,"While we rightly as a Nation reflect on the more than 23,000 Americans who have succumbed to the Coronavirus, as a tribute to our health care workers, we also do well to reflect on more than 44,000 Americans who have fully recovered.","rightly nation reflect 23,000 Americans succumb Coronavirus tribute health care worker reflect 44,000 Americans fully recover",1858,<UNK>,<UNK>,Mike_Pence
560,1250179185018093571,2020-04-14 21:48:39+00:00,"Good meeting today with members of the @WhiteHouse Coronavirus Task Force on testing. Thanks to President @realDonaldTrump’s leadership, our public-private partnership has already performed more than 3.1 million tests and we're working everyday to increase testing Nationwide.",good meeting today member @whitehouse Coronavirus Task Force testing thank President @realDonaldTrump leadership public private partnership perform million test work everyday increase test Nationwide,1754,<UNK>,@WhiteHouse @realDonaldTrump,Mike_Pence
561,1249864491736629248,2020-04-14 00:58:10+00:00,"President @realDonaldTrump has made it a top priority to make sure that states have what they need when they need it. Because of our partnership with states across the Country, no one who has required a ventilator has been denied a ventilator in the United States of the America.",President @realDonaldTrump priority sure state need need partnership state Country require ventilator deny ventilator United States America,2330,<UNK>,@realDonaldTrump,Mike_Pence
562,1249864196562485249,2020-04-14 00:57:00+00:00,"Early on, President @realDonaldTrump formed a public-private partnership with commercial labs, and today, more than 2.5 million tests have been performed.",early President @realDonaldTrump form public private partnership commercial lab today million test perform,1343,<UNK>,@realDonaldTrump,Mike_Pence
563,1249855485332905984,2020-04-14 00:22:23+00:00,"Thank you to a great American, Steven Eull, for going above and beyond and willing to give everything to help others during this tough time.",thank great American Steven Eull go willing help tough time,1033,<UNK>,<UNK>,Mike_Pence
564,1249730342807900162,2020-04-13 16:05:07+00:00,President @realDonaldTrump and the entire @WhiteHouse Coronavirus Task Force are stopping at nothing the protect the health of the American people. We will continue to work every day to get through this pandemic together as a Nation.,President @realDonaldTrump entire @whitehouse Coronavirus Task Force stop protect health american people continue work pandemic nation,1586,<UNK>,@realDonaldTrump @WhiteHouse,Mike_Pence
565,1249715632209309698,2020-04-13 15:06:39+00:00,"In addition to the 100,000 workers already hired, @Amazon is adding another 75,000 &amp; increasing hourly pay. Thank you, @Amazon for working every day to meet the needs of the American people as we face this pandemic together.","addition 100,000 worker hire @Amazon add 75,000 increase hourly thank @Amazon work meet need american people face pandemic",990,<UNK>,@amazon @amazon,Mike_Pence
566,1249314056328052736,2020-04-12 12:30:56+00:00,“Why do you look for the living among the dead? He is not here. He is risen!” Karen and I are wishing a blessed and Happy Easter to everyone who greets the empty tomb today with full and grateful hearts!,look living dead rise Karen wish blessed Happy Easter greet tomb today grateful heart,7122,<UNK>,<UNK>,Mike_Pence
567,1248719399856549891,2020-04-10 21:07:59+00:00,"As we go into this very special Easter weekend, we are grateful to all of the ministries across the Country continuing to provide for the needs of the American people.",special Easter weekend grateful ministry country continue provide need american people,1074,<UNK>,<UNK>,Mike_Pence
568,1248718827107606529,2020-04-10 21:05:43+00:00,"More the 5 billion supplies have be obligated to the States, 29,600 National Guard have been activated and at President @realDonaldTrump’s direction more than 4,700 active duty military personnel have been deployed to areas most impacted by the Coronavirus.","billion supply obligate States 29,600 National Guard activate President @realDonaldTrump direction 4,700 active duty military personnel deploy area impact Coronavirus",1056,<UNK>,@realDonaldTrump,Mike_Pence
569,1248718694420754432,2020-04-10 21:05:11+00:00,"On this Good Friday, there is Hope.",Good Friday Hope,1898,<UNK>,<UNK>,Mike_Pence
570,1248700202292215808,2020-04-10 19:51:42+00:00,"As our health care professionals continue to work on the front lines of this pandemic, putting the health of their patients first, we are grateful to @IndianaUniv for opening up their residences halls so that nurses and doctors can rest between shifts.",health care professional continue work line pandemic put health patient grateful @IndianaUniv open residence hall nurse doctor rest shift,686,<UNK>,@IndianaUniv,Mike_Pence
571,1248577124086284293,2020-04-10 11:42:38+00:00,"Today, Karen & I join Christians around the world in remembering the ultimate sacrifice Jesus made for us upon the Cross. “He was pierced for our transgressions, He was crushed for our iniquities; the punishment that brought us peace was on Him, & by His wounds we are healed.”",today Karen join Christians world remember ultimate sacrifice Jesus Cross pierce transgression crush iniquity punishment bring peace wound heal,9296,<UNK>,<UNK>,Mike_Pence
572,1248414921080983552,2020-04-10 00:58:06+00:00,"Today, President @realDonaldTrump, @FLOTUS, @SecondLady and I were honored to be a part of a conference call with mental health professionals from across the Country. We're with you.",today President @realDonaldTrump @FLOTUS @SecondLady honor conference mental health professional Country,1231,<UNK>,@realDonaldTrump @FLOTUS @SecondLady,Mike_Pence
573,1248414810196176901,2020-04-10 00:57:39+00:00,"As we look at the data on a county by county basis, we continue to see evidence of stabilization because Americans everywhere are putting into practice the guidelines. It’s working, America.",look datum county county basis continue evidence stabilization Americans put practice guideline work America,956,<UNK>,<UNK>,Mike_Pence
574,1248299133053456384,2020-04-09 17:18:00+00:00,We urge every American to visit http://coronavirus.gov to learn how they can do their part to slow the spread.,urge American visit learn slow spread,973,<UNK>,<UNK>,Mike_Pence
